organizationid,groupid,quizid,schemeofworkid
2189_15351_8388,2189,15351,8388.0
1366_15351_8388,1366,15351,8388.0
6822_1600_8400,6822,1600,8400.0
4207_7903_8412,4207,7903,8412.0
5262_7903_8412,5262,7903,8412.0
11355_1600_8400,11355,1600,8400.0
2936_7903_8409,2936,7903,8409.0
8414_1600_8400,8414,1600,8400.0
9729_1600_8399,9729,1600,8399.0
8710_7903_8412,8710,7903,8412.0
4570_1600_8399,4570,1600,8399.0
5906_7903_8409,5906,7903,8409.0
2308_1600_8399,2308,1600,8399.0
10877_7903_8409,10877,7903,8409.0
3115_7903_8409,3115,7903,8409.0
3477_7903_8409,3477,7903,8409.0
3833_7903_8409,3833,7903,8409.0
7702_7903_8412,7702,7903,8412.0
10224_1600_8400,10224,1600,8400.0
4584_1600_8399,4584,1600,8399.0
11684_1600_8400,11684,1600,8400.0
6010_1600_8399,6010,1600,8399.0
5885_7903_8412,5885,7903,8412.0
5404_7903_8412,5404,7903,8412.0
11757_1600_8400,11757,1600,8400.0
9084_1600_8400,9084,1600,8400.0
6480_1600_8400,6480,1600,8400.0
3337_1600_8400,3337,1600,8400.0
6680_7903_8409,6680,7903,8409.0
11223_7903_8412,11223,7903,8412.0
10723_1600_8400,10723,1600,8400.0
11581_7903_8412,11581,7903,8412.0
9190_1600_8399,9190,1600,8399.0
7817_7903_8412,7817,7903,8412.0
6206_1600_8400,6206,1600,8400.0
11509_1600_8400,11509,1600,8400.0
5188_5965_8380,5188,5965,8380.0
4191_5965_8380,4191,5965,8380.0
249_5965_8380,249,5965,8380.0
5309_5965_8380,5309,5965,8380.0
10709_5965_8380,10709,5965,8380.0
2309_5965_8380,2309,5965,8380.0
11052_5965_8380,11052,5965,8380.0
4926_5965_8380,4926,5965,8380.0
8208_5965_8380,8208,5965,8380.0
10257_5965_8380,10257,5965,8380.0
4589_569_8464,4589,569,8464.0
3772_569_8464,3772,569,8464.0
10397_569_8464,10397,569,8464.0
7438_569_8464,7438,569,8464.0
1968_569_8464,1968,569,8464.0
5998_569_8464,5998,569,8464.0
6484_569_8464,6484,569,8464.0
8562_569_8464,8562,569,8464.0
8071_569_8464,8071,569,8464.0
5259_569_8464,5259,569,8464.0
6729_569_8464,6729,569,8464.0
8695_569_8464,8695,569,8464.0
1228_569_8464,1228,569,8464.0
5849_569_8464,5849,569,8464.0
3788_569_8464,3788,569,8464.0
2281_569_8464,2281,569,8464.0
4325_569_8464,4325,569,8464.0
9488_569_8464,9488,569,8464.0
2824_569_8464,2824,569,8464.0
10544_569_8464,10544,569,8464.0
5881_569_8464,5881,569,8464.0
3682_569_8464,3682,569,8464.0
310_569_8464,310,569,8464.0
3690_569_8464,3690,569,8464.0
5656_4585_8419,5656,4585,8419.0
8201_4585_8419,8201,4585,8419.0
7600_4585_8419,7600,4585,8419.0
1155_4585_8419,1155,4585,8419.0
8792_4585_8419,8792,4585,8419.0
4000_4585_8419,4000,4585,8419.0
5896_4585_8419,5896,4585,8419.0
7810_4585_8419,7810,4585,8419.0
2795_4585_8419,2795,4585,8419.0
5934_4585_8419,5934,4585,8419.0
453_4585_8419,453,4585,8419.0
762_4585_8419,762,4585,8419.0
7600_7849_8419,7600,7849,8419.0
6354_7849_8419,6354,7849,8419.0
8363_7849_8419,8363,7849,8419.0
8210_7849_8419,8210,7849,8419.0
8887_7849_8419,8887,7849,8419.0
10433_7849_8419,10433,7849,8419.0
4000_7849_8419,4000,7849,8419.0
2795_7849_8419,2795,7849,8419.0
7810_7849_8419,7810,7849,8419.0
762_7849_8419,762,7849,8419.0
1155_7849_8419,1155,7849,8419.0
5359_16065_40958,5359,16065,40958.0
6822_4017_8400,6822,4017,8400.0
11684_4017_8400,11684,4017,8400.0
8414_4017_8400,8414,4017,8400.0
8506_4017_8399,8506,4017,8399.0
11355_4017_8400,11355,4017,8400.0
8411_4017_8399,8411,4017,8399.0
11494_4017_8399,11494,4017,8399.0
11669_4017_8399,11669,4017,8399.0
2126_4017_8399,2126,4017,8399.0
5192_4017_8400,5192,4017,8400.0
11509_4017_8400,11509,4017,8400.0
8539_4017_8399,8539,4017,8399.0
3371_4017_8399,3371,4017,8399.0
11781_4017_8400,11781,4017,8400.0
8181_4017_8399,8181,4017,8399.0
10866_4017_8400,10866,4017,8400.0
1641_4017_8400,1641,4017,8400.0
298_4017_8400,298,4017,8400.0
706_4017_8399,706,4017,8399.0
7465_4017_8400,7465,4017,8400.0
453_4017_8400,453,4017,8400.0
9618_4017_8400,9618,4017,8400.0
11061_4017_8400,11061,4017,8400.0
518_4017_8400,518,4017,8400.0
5087_2780_8386,5087,2780,8386.0
9215_10003_66487,9215,10003,66487.0
457_2780_8386,457,2780,8386.0
8619_10003_66487,8619,10003,66487.0
10781_10003_66487,10781,10003,66487.0
10697_10003_66487,10697,10003,66487.0
10228_10003_66487,10228,10003,66487.0
10149_10003_66487,10149,10003,66487.0
2093_2780_8386,2093,2780,8386.0
3687_10003_66487,3687,10003,66487.0
8336_2780_8386,8336,2780,8386.0
5445_10003_66487,5445,10003,66487.0
6439_10003_66487,6439,10003,66487.0
954_10003_66487,954,10003,66487.0
9816_10003_66487,9816,10003,66487.0
2432_10003_66487,2432,10003,66487.0
3829_10003_66487,3829,10003,66487.0
2335_10003_66487,2335,10003,66487.0
11481_10003_66487,11481,10003,66487.0
7172_2780_8386,7172,2780,8386.0
5850_2780_8386,5850,2780,8386.0
10779_10003_66487,10779,10003,66487.0
9797_10003_66487,9797,10003,66487.0
9247_10003_66487,9247,10003,66487.0
7314_10003_66487,7314,10003,66487.0
1344_2780_8386,1344,2780,8386.0
8219_2780_8386,8219,2780,8386.0
2965_11265_8425,2965,11265,8425.0
6224_11265_8425,6224,11265,8425.0
10106_11265_8425,10106,11265,8425.0
7246_11265_8425,7246,11265,8425.0
10647_11265_8425,10647,11265,8425.0
9119_11265_8425,9119,11265,8425.0
8681_11265_8425,8681,11265,8425.0
3788_11265_8425,3788,11265,8425.0
2932_11265_8425,2932,11265,8425.0
411_11265_8425,411,11265,8425.0
9937_11265_8425,9937,11265,8425.0
8713_11265_8425,8713,11265,8425.0
8071_11265_8425,8071,11265,8425.0
10187_11265_8425,10187,11265,8425.0
9949_11265_8425,9949,11265,8425.0
8081_11265_8425,8081,11265,8425.0
2281_11265_8425,2281,11265,8425.0
3697_11265_8425,3697,11265,8425.0
3373_11265_8425,3373,11265,8425.0
9669_11265_8425,9669,11265,8425.0
5007_11265_8425,5007,11265,8425.0
10232_11265_8425,10232,11265,8425.0
10544_11265_8425,10544,11265,8425.0
9488_11265_8425,9488,11265,8425.0
6822_15142_8400,6822,15142,8400.0
4207_2810_8412,4207,2810,8412.0
11684_15142_8400,11684,15142,8400.0
5906_2810_8409,5906,2810,8409.0
11355_15142_8400,11355,15142,8400.0
8414_15142_8400,8414,15142,8400.0
5437_2810_8409,5437,2810,8409.0
5262_2810_8412,5262,2810,8412.0
10877_2810_8409,10877,2810,8409.0
8674_2810_8412,8674,2810,8412.0
1778_2810_8409,1778,2810,8409.0
8411_15142_8399,8411,15142,8399.0
7174_2810_8412,7174,2810,8412.0
482_2810_8412,482,2810,8412.0
7821_2810_8412,7821,2810,8412.0
7465_15142_8400,7465,15142,8400.0
8506_15142_8399,8506,15142,8399.0
11669_15142_8399,11669,15142,8399.0
5885_2810_8412,5885,2810,8412.0
674_2810_8412,674,2810,8412.0
1173_15142_8399,1173,15142,8399.0
3115_2810_8409,3115,2810,8409.0
3704_2810_8409,3704,2810,8409.0
3371_15142_8399,3371,15142,8399.0
1605_2810_8409,1605,2810,8409.0
1995_15142_8400,1995,15142,8400.0
3337_15142_8400,3337,15142,8400.0
8181_15142_8399,8181,15142,8399.0
2486_15142_8400,2486,15142,8400.0
2936_2810_8409,2936,2810,8409.0
6206_15142_8400,6206,15142,8400.0
5404_2810_8412,5404,2810,8412.0
6680_2810_8409,6680,2810,8409.0
298_15142_8400,298,15142,8400.0
11494_15142_8399,11494,15142,8399.0
706_15142_8399,706,15142,8399.0
11509_15142_8400,11509,15142,8400.0
3247_15142_8400,3247,15142,8400.0
453_15142_8400,453,15142,8400.0
9618_15142_8400,9618,15142,8400.0
10934_15142_8400,10934,15142,8400.0
11061_15142_8400,11061,15142,8400.0
7817_2810_8412,7817,2810,8412.0
5188_14864_8380,5188,14864,8380.0
10257_14864_8380,10257,14864,8380.0
249_14864_8380,249,14864,8380.0
8505_14864_8380,8505,14864,8380.0
9250_14864_8380,9250,14864,8380.0
8208_14864_8380,8208,14864,8380.0
10106_1419_8464,10106,1419,8464.0
6483_1419_8464,6483,1419,8464.0
6755_1419_8464,6755,1419,8464.0
6656_1419_8464,6656,1419,8464.0
11437_1419_8464,11437,1419,8464.0
10959_1419_8464,10959,1419,8464.0
3802_1419_8464,3802,1419,8464.0
6582_1419_8464,6582,1419,8464.0
4553_1419_8464,4553,1419,8464.0
9797_2493_66487,9797,2493,66487.0
4567_2493_8386,4567,2493,8386.0
9662_2493_8386,9662,2493,8386.0
8336_2493_8386,8336,2493,8386.0
9247_2493_66487,9247,2493,66487.0
5087_2493_8386,5087,2493,8386.0
457_2493_8386,457,2493,8386.0
9247_2493_8386,9247,2493,8386.0
9215_2493_66487,9215,2493,66487.0
2432_2493_66487,2432,2493,66487.0
7976_2493_8386,7976,2493,8386.0
8619_2493_66487,8619,2493,66487.0
10781_2493_66487,10781,2493,66487.0
1630_2493_8386,1630,2493,8386.0
4201_2493_8386,4201,2493,8386.0
10697_2493_8386,10697,2493,8386.0
10343_2493_8386,10343,2493,8386.0
10228_2493_66487,10228,2493,66487.0
10697_2493_66487,10697,2493,66487.0
7172_2493_8386,7172,2493,8386.0
10149_2493_66487,10149,2493,66487.0
3687_2493_66487,3687,2493,66487.0
5635_2493_8386,5635,2493,8386.0
5445_2493_66487,5445,2493,66487.0
6439_2493_66487,6439,2493,66487.0
284_2493_8386,284,2493,8386.0
11514_2493_8386,11514,2493,8386.0
954_2493_66487,954,2493,66487.0
9816_2493_66487,9816,2493,66487.0
1513_2493_8386,1513,2493,8386.0
3627_2493_8386,3627,2493,8386.0
11481_2493_66487,11481,2493,66487.0
5445_2493_8386,5445,2493,8386.0
10779_2493_66487,10779,2493,66487.0
6092_2493_8386,6092,2493,8386.0
2335_2493_66487,2335,2493,66487.0
954_2493_8386,954,2493,8386.0
2432_2493_8386,2432,2493,8386.0
10779_2493_8386,10779,2493,8386.0
647_2493_8386,647,2493,8386.0
6839_2493_66487,6839,2493,66487.0
6074_2493_8386,6074,2493,8386.0
6439_2493_8386,6439,2493,8386.0
11640_2493_8386,11640,2493,8386.0
11595_2493_8386,11595,2493,8386.0
5896_10723_8415,5896,10723,8415.0
3586_10723_8415,3586,10723,8415.0
878_10723_8425,878,10723,8425.0
6559_10723_8420,6559,10723,8420.0
6009_10723_8425,6009,10723,8425.0
4029_10723_8418,4029,10723,8418.0
1778_10723_8415,1778,10723,8415.0
11020_10723_8418,11020,10723,8418.0
1889_10723_8418,1889,10723,8418.0
3348_10723_8425,3348,10723,8425.0
5259_10723_8420,5259,10723,8420.0
3891_10723_8418,3891,10723,8418.0
7300_10723_8418,7300,10723,8418.0
2082_10723_8420,2082,10723,8420.0
2504_10723_8415,2504,10723,8415.0
6705_10723_8425,6705,10723,8425.0
8446_10723_8415,8446,10723,8415.0
9952_10723_8425,9952,10723,8425.0
8838_10723_8418,8838,10723,8418.0
4575_10723_8425,4575,10723,8425.0
5722_10723_8418,5722,10723,8418.0
8676_10723_8415,8676,10723,8415.0
8168_10723_8415,8168,10723,8415.0
11030_10723_8425,11030,10723,8425.0
2244_10723_8415,2244,10723,8415.0
7000_10723_8420,7000,10723,8420.0
7336_10723_8420,7336,10723,8420.0
604_10723_8415,604,10723,8415.0
6802_10723_8418,6802,10723,8418.0
11566_10723_8418,11566,10723,8418.0
10950_10723_8420,10950,10723,8420.0
2708_10723_8415,2708,10723,8415.0
6022_10723_8418,6022,10723,8418.0
1057_10723_8418,1057,10723,8418.0
11513_10723_8420,11513,10723,8420.0
6337_10723_8415,6337,10723,8415.0
5896_12233_8418,5896,12233,8418.0
2118_12233_8415,2118,12233,8415.0
6987_12233_8418,6987,12233,8418.0
1053_12233_8418,1053,12233,8418.0
226_12233_8418,226,12233,8418.0
7600_12233_8418,7600,12233,8418.0
5722_12233_8418,5722,12233,8418.0
3344_12233_8415,3344,12233,8415.0
8838_12233_8418,8838,12233,8418.0
6003_12233_8418,6003,12233,8418.0
6022_12233_8418,6022,12233,8418.0
4682_12233_8415,4682,12233,8415.0
7773_12233_8418,7773,12233,8418.0
4517_3221_8388,4517,3221,8388.0
3503_3221_8388,3503,3221,8388.0
3707_3221_8388,3707,3221,8388.0
5880_3221_8388,5880,3221,8388.0
4201_3221_8388,4201,3221,8388.0
4882_3221_8388,4882,3221,8388.0
10113_3221_8388,10113,3221,8388.0
9413_3221_8388,9413,3221,8388.0
3597_3221_8388,3597,3221,8388.0
8552_3221_8388,8552,3221,8388.0
9594_3221_8388,9594,3221,8388.0
7976_3221_8388,7976,3221,8388.0
5582_3221_8388,5582,3221,8388.0
3514_3221_8388,3514,3221,8388.0
948_3221_8388,948,3221,8388.0
3307_3221_8388,3307,3221,8388.0
9662_3221_8388,9662,3221,8388.0
1366_3221_8388,1366,3221,8388.0
10635_3221_8388,10635,3221,8388.0
3978_3221_8388,3978,3221,8388.0
9599_3221_8388,9599,3221,8388.0
1063_3221_8388,1063,3221,8388.0
1534_3221_8388,1534,3221,8388.0
6080_3221_8388,6080,3221,8388.0
10343_3221_8388,10343,3221,8388.0
2189_3221_8388,2189,3221,8388.0
902_3221_8388,902,3221,8388.0
11351_3221_8388,11351,3221,8388.0
2270_3221_8388,2270,3221,8388.0
345_3221_8388,345,3221,8388.0
5043_3221_8388,5043,3221,8388.0
8499_3221_8388,8499,3221,8388.0
10294_3221_8388,10294,3221,8388.0
3829_3221_8388,3829,3221,8388.0
7314_3221_8388,7314,3221,8388.0
785_3221_8388,785,3221,8388.0
2332_3221_8388,2332,3221,8388.0
11352_3221_8388,11352,3221,8388.0
2931_13023_10238,2931,13023,10238.0
238_13023_10238,238,13023,10238.0
4691_13023_10238,4691,13023,10238.0
5490_9405_8408,5490,9405,8408.0
11684_9405_8408,11684,9405,8408.0
8414_9405_8408,8414,9405,8408.0
5725_9405_8408,5725,9405,8408.0
10224_9405_8408,10224,9405,8408.0
6822_9405_8408,6822,9405,8408.0
9618_9405_8408,9618,9405,8408.0
149_9405_8408,149,9405,8408.0
5188_15776_40958,5188,15776,40958.0
846_15776_40958,846,15776,40958.0
10842_10723_8415,10842,10723,8415.0
9236_10723_8418,9236,10723,8418.0
2122_10723_8420,2122,10723,8420.0
8208_9764_40958,8208,9764,40958.0
2093_5006_8386,2093,5006,8386.0
9662_5006_8386,9662,5006,8386.0
7976_5006_8386,7976,5006,8386.0
457_5006_8386,457,5006,8386.0
10593_5006_8386,10593,5006,8386.0
9247_5006_8386,9247,5006,8386.0
8619_5006_8386,8619,5006,8386.0
10781_5006_8386,10781,5006,8386.0
4201_5006_8386,4201,5006,8386.0
10228_5006_8386,10228,5006,8386.0
10343_5006_8386,10343,5006,8386.0
7172_5006_8386,7172,5006,8386.0
10149_5006_8386,10149,5006,8386.0
3687_5006_8386,3687,5006,8386.0
1630_5006_8386,1630,5006,8386.0
9215_5006_8386,9215,5006,8386.0
5635_5006_8386,5635,5006,8386.0
9816_5006_8386,9816,5006,8386.0
6439_5006_8386,6439,5006,8386.0
9922_5006_8386,9922,5006,8386.0
43_5006_8386,43,5006,8386.0
26_5006_8386,26,5006,8386.0
10779_5006_8386,10779,5006,8386.0
954_5006_8386,954,5006,8386.0
9075_16431_40958,9075,16431,40958.0
7506_16431_40958,7506,16431,40958.0
7246_13564_8425,7246,13564,8425.0
5685_13564_8420,5685,13564,8420.0
411_13564_8425,411,13564,8425.0
6755_13564_8425,6755,13564,8425.0
10106_13564_8425,10106,13564,8425.0
6483_13564_8425,6483,13564,8425.0
10647_13564_8425,10647,13564,8425.0
6009_13564_8425,6009,13564,8425.0
8537_13564_8425,8537,13564,8425.0
1876_13564_8420,1876,13564,8420.0
9937_13564_8425,9937,13564,8425.0
9946_13564_8420,9946,13564,8420.0
2824_13564_8425,2824,13564,8425.0
8695_13564_8425,8695,13564,8425.0
8681_13564_8425,8681,13564,8425.0
3788_13564_8425,3788,13564,8425.0
9532_13564_8420,9532,13564,8420.0
9949_13564_8425,9949,13564,8425.0
3348_13564_8425,3348,13564,8425.0
11366_13564_8425,11366,13564,8425.0
8071_13564_8425,8071,13564,8425.0
4575_13564_8420,4575,13564,8420.0
6656_13564_8425,6656,13564,8425.0
2281_13564_8425,2281,13564,8425.0
10657_13564_8425,10657,13564,8425.0
6705_13564_8425,6705,13564,8425.0
11437_13564_8425,11437,13564,8425.0
2932_13564_8425,2932,13564,8425.0
7876_13564_8425,7876,13564,8425.0
10544_13564_8420,10544,13564,8420.0
6123_13564_8420,6123,13564,8420.0
3836_13564_8420,3836,13564,8420.0
6943_13564_8420,6943,13564,8420.0
721_13564_8420,721,13564,8420.0
8449_6348_8413,8449,6348,8413.0
10707_6348_8413,10707,6348,8413.0
10877_6348_8413,10877,6348,8413.0
989_6348_8413,989,6348,8413.0
6237_6348_8413,6237,6348,8413.0
7331_6348_8413,7331,6348,8413.0
5471_6348_8413,5471,6348,8413.0
11355_2212_8400,11355,2212,8400.0
7465_2212_8400,7465,2212,8400.0
8414_2212_8400,8414,2212,8400.0
11684_2212_8400,11684,2212,8400.0
4570_2212_8400,4570,2212,8400.0
2308_2212_8400,2308,2212,8400.0
2486_2212_8400,2486,2212,8400.0
4584_2212_8400,4584,2212,8400.0
11757_2212_8400,11757,2212,8400.0
9729_2212_8400,9729,2212,8400.0
6010_2212_8400,6010,2212,8400.0
9190_2212_8400,9190,2212,8400.0
1995_2212_8400,1995,2212,8400.0
9470_2212_8400,9470,2212,8400.0
11509_2212_8400,11509,2212,8400.0
11061_2212_8400,11061,2212,8400.0
1534_1486_8388,1534,1486,8388.0
8552_1486_8388,8552,1486,8388.0
5880_1486_8388,5880,1486,8388.0
4882_1486_8388,4882,1486,8388.0
3597_1486_8388,3597,1486,8388.0
345_1486_8388,345,1486,8388.0
3707_1486_8388,3707,1486,8388.0
915_1486_8388,915,1486,8388.0
3978_1486_8388,3978,1486,8388.0
5582_1486_8388,5582,1486,8388.0
9594_1486_8388,9594,1486,8388.0
3514_1486_8388,3514,1486,8388.0
410_1486_8388,410,1486,8388.0
1366_1486_8388,1366,1486,8388.0
1063_1486_8388,1063,1486,8388.0
2189_1486_8388,2189,1486,8388.0
8288_1486_8388,8288,1486,8388.0
10635_1486_8388,10635,1486,8388.0
9599_1486_8388,9599,1486,8388.0
2270_1486_8388,2270,1486,8388.0
416_1486_8388,416,1486,8388.0
7841_1486_8388,7841,1486,8388.0
5188_15730_10241,5188,15730,10241.0
1136_15730_10241,1136,15730,10241.0
7506_15730_10241,7506,15730,10241.0
2582_15730_10241,2582,15730,10241.0
4432_2732_10243,4432,2732,10243.0
5674_2732_10243,5674,2732,10243.0
7092_14789_8409,7092,14789,8409.0
4207_14789_8412,4207,14789,8412.0
11684_3171_8400,11684,3171,8400.0
5262_14789_8412,5262,14789,8412.0
5437_14789_8409,5437,14789,8409.0
1605_14789_8409,1605,14789,8409.0
5906_14789_8409,5906,14789,8409.0
10558_14789_8412,10558,14789,8412.0
2936_14789_8409,2936,14789,8409.0
2308_3171_8400,2308,3171,8400.0
10877_14789_8409,10877,14789,8409.0
5302_14789_8409,5302,14789,8409.0
8414_3171_8400,8414,3171,8400.0
11355_3171_8399,11355,3171,8399.0
10790_14789_8409,10790,14789,8409.0
8411_3171_8399,8411,3171,8399.0
7174_14789_8412,7174,14789,8412.0
4584_3171_8400,4584,3171,8400.0
10224_3171_8400,10224,3171,8400.0
11669_3171_8399,11669,3171,8399.0
4863_14789_8409,4863,14789,8409.0
11339_3171_8400,11339,3171,8400.0
2159_14789_8412,2159,14789,8412.0
6010_3171_8400,6010,3171,8400.0
6206_3171_8400,6206,3171,8400.0
5885_14789_8412,5885,14789,8412.0
3704_14789_8409,3704,14789,8409.0
11223_14789_8412,11223,14789,8412.0
5981_14789_8412,5981,14789,8412.0
11076_14789_8412,11076,14789,8412.0
3115_14789_8409,3115,14789,8409.0
9190_3171_8400,9190,3171,8400.0
9729_3171_8400,9729,3171,8400.0
8613_3171_8399,8613,3171,8399.0
6680_14789_8409,6680,14789,8409.0
2429_14789_8412,2429,14789,8412.0
10996_14789_8412,10996,14789,8412.0
4570_3171_8400,4570,3171,8400.0
6158_3171_8400,6158,3171,8400.0
11509_3171_8400,11509,3171,8400.0
1995_3171_8400,1995,3171,8400.0
3247_3171_8400,3247,3171,8400.0
1797_3171_8399,1797,3171,8399.0
453_14789_8412,453,14789,8412.0
6822_14209_8400,6822,14209,8400.0
11355_14209_8400,11355,14209,8400.0
11684_14209_8400,11684,14209,8400.0
4584_14209_8400,4584,14209,8400.0
9073_14209_8400,9073,14209,8400.0
8414_14209_8400,8414,14209,8400.0
3326_14209_8400,3326,14209,8400.0
9729_14209_8400,9729,14209,8400.0
11757_14209_8400,11757,14209,8400.0
10934_14209_8400,10934,14209,8400.0
3337_14209_8400,3337,14209,8400.0
9190_14209_8400,9190,14209,8400.0
11561_14209_8400,11561,14209,8400.0
10224_14209_8400,10224,14209,8400.0
4744_14209_8400,4744,14209,8400.0
6010_14209_8400,6010,14209,8400.0
6822_677_8399,6822,677,8399.0
11684_677_8400,11684,677,8400.0
11355_677_8399,11355,677,8399.0
8414_677_8400,8414,677,8400.0
5437_13963_8409,5437,13963,8409.0
7092_13963_8409,7092,13963,8409.0
8721_13963_8409,8721,13963,8409.0
8411_677_8399,8411,677,8399.0
4207_13963_8412,4207,13963,8412.0
11076_13963_8412,11076,13963,8412.0
1605_13963_8409,1605,13963,8409.0
11669_677_8399,11669,677,8399.0
11339_677_8400,11339,677,8400.0
2159_13963_8412,2159,13963,8412.0
6206_677_8400,6206,677,8400.0
3704_13963_8409,3704,13963,8409.0
5302_13963_8409,5302,13963,8409.0
11740_13963_8412,11740,13963,8412.0
6480_677_8400,6480,677,8400.0
7908_677_8399,7908,677,8399.0
5981_13963_8412,5981,13963,8412.0
10790_13963_8409,10790,13963,8409.0
8613_677_8399,8613,677,8399.0
2429_13963_8412,2429,13963,8412.0
9123_13963_8412,9123,13963,8412.0
2261_677_8400,2261,677,8400.0
3247_677_8400,3247,677,8400.0
1797_677_8399,1797,677,8399.0
11061_677_8400,11061,677,8400.0
11453_13963_8409,11453,13963,8409.0
4882_3168_8388,4882,3168,8388.0
1778_3168_8388,1778,3168,8388.0
1307_3168_8388,1307,3168,8388.0
9594_3168_8388,9594,3168,8388.0
5880_3168_8388,5880,3168,8388.0
3597_3168_8388,3597,3168,8388.0
410_3168_8388,410,3168,8388.0
3978_3168_8388,3978,3168,8388.0
7651_3168_8388,7651,3168,8388.0
1366_3168_8388,1366,3168,8388.0
1063_3168_8388,1063,3168,8388.0
1078_3168_8388,1078,3168,8388.0
10019_3168_8388,10019,3168,8388.0
7303_3168_8388,7303,3168,8388.0
8288_3168_8388,8288,3168,8388.0
3371_3168_8388,3371,3168,8388.0
7335_3168_8388,7335,3168,8388.0
948_3168_8388,948,3168,8388.0
1173_3168_8388,1173,3168,8388.0
3570_12192_8376,3570,12192,8376.0
1468_12192_8376,1468,12192,8376.0
11745_12192_8376,11745,12192,8376.0
3382_10723_8420,3382,10723,8420.0
926_10723_8420,926,10723,8420.0
7829_10723_8415,7829,10723,8415.0
4249_10723_8425,4249,10723,8425.0
8181_10723_8415,8181,10723,8415.0
1053_10723_8415,1053,10723,8415.0
3468_10723_8425,3468,10723,8425.0
5490_10649_8408,5490,10649,8408.0
8414_10649_8408,8414,10649,8408.0
11684_10649_8408,11684,10649,8408.0
2821_10649_8408,2821,10649,8408.0
5725_10649_8408,5725,10649,8408.0
8201_10649_8408,8201,10649,8408.0
5130_10649_8408,5130,10649,8408.0
9618_10649_8408,9618,10649,8408.0
10224_10649_8408,10224,10649,8408.0
1605_6198_8409,1605,6198,8409.0
2936_6198_8409,2936,6198,8409.0
5437_6198_8409,5437,6198,8409.0
482_6198_8412,482,6198,8412.0
7174_6198_8412,7174,6198,8412.0
5262_6198_8412,5262,6198,8412.0
5906_6198_8409,5906,6198,8409.0
10877_6198_8409,10877,6198,8409.0
1778_6198_8409,1778,6198,8409.0
4207_6198_8412,4207,6198,8412.0
3115_6198_8409,3115,6198,8409.0
7817_6198_8412,7817,6198,8412.0
6514_6198_8412,6514,6198,8412.0
3704_6198_8409,3704,6198,8409.0
3477_6198_8409,3477,6198,8409.0
6680_6198_8409,6680,6198,8409.0
5885_6198_8412,5885,6198,8412.0
3247_4017_8400,3247,4017,8400.0
6766_16431_40958,6766,16431,40958.0
10883_10649_8408,10883,10649,8408.0
11050_10649_8408,11050,10649,8408.0
1989_10649_8408,1989,10649,8408.0
5188_7068_8380,5188,7068,8380.0
8208_7068_8380,8208,7068,8380.0
8176_7068_8380,8176,7068,8380.0
249_7068_8380,249,7068,8380.0
10257_7068_8380,10257,7068,8380.0
2309_7068_8380,2309,7068,8380.0
6588_7068_8380,6588,7068,8380.0
878_10298_8425,878,10298,8425.0
5685_10298_8425,5685,10298,8425.0
11030_10298_8425,11030,10298,8425.0
6009_10298_8425,6009,10298,8425.0
7427_10298_8425,7427,10298,8425.0
8681_10298_8425,8681,10298,8425.0
3802_10298_8425,3802,10298,8425.0
6559_10298_8420,6559,10298,8420.0
412_10298_8425,412,10298,8425.0
9532_10298_8425,9532,10298,8425.0
8071_10298_8425,8071,10298,8425.0
4575_10298_8425,4575,10298,8425.0
5372_10298_8425,5372,10298,8425.0
1109_10298_8425,1109,10298,8425.0
4741_10298_8425,4741,10298,8425.0
9952_10298_8425,9952,10298,8425.0
2082_10298_8420,2082,10298,8420.0
10950_10298_8420,10950,10298,8420.0
2281_10298_8425,2281,10298,8425.0
6705_10298_8425,6705,10298,8425.0
6925_10298_8425,6925,10298,8425.0
5539_10298_8425,5539,10298,8425.0
10187_10298_8425,10187,10298,8425.0
8804_10298_8425,8804,10298,8425.0
7790_10298_8420,7790,10298,8420.0
8010_10298_8425,8010,10298,8425.0
6180_10298_8420,6180,10298,8420.0
6943_10298_8420,6943,10298,8420.0
2122_10298_8420,2122,10298,8420.0
3468_10298_8425,3468,10298,8425.0
4553_10298_8425,4553,10298,8425.0
7336_10298_8420,7336,10298,8420.0
9870_10298_8425,9870,10298,8425.0
10655_10298_8420,10655,10298,8420.0
11050_9405_8408,11050,9405,8408.0
1371_9405_8408,1371,9405,8408.0
4325_1617_8420,4325,1617,8420.0
10106_1617_8425,10106,1617,8425.0
6009_1617_8425,6009,1617,8425.0
114_1617_8425,114,1617,8425.0
10647_1617_8425,10647,1617,8425.0
7246_1617_8425,7246,1617,8425.0
5765_1617_8425,5765,1617,8425.0
6755_1617_8425,6755,1617,8425.0
7438_1617_8425,7438,1617,8425.0
8071_1617_8425,8071,1617,8425.0
8681_1617_8420,8681,1617,8420.0
4447_1617_8425,4447,1617,8425.0
10630_1617_8420,10630,1617,8420.0
9949_1617_8425,9949,1617,8425.0
3348_1617_8425,3348,1617,8425.0
3788_1617_8425,3788,1617,8425.0
8562_1617_8420,8562,1617,8420.0
4249_1617_8425,4249,1617,8425.0
10657_1617_8425,10657,1617,8425.0
5800_1617_8425,5800,1617,8425.0
10187_1617_8425,10187,1617,8425.0
5849_1617_8425,5849,1617,8425.0
918_1617_8425,918,1617,8425.0
11370_1617_8425,11370,1617,8425.0
6705_1617_8425,6705,1617,8425.0
4575_1617_8425,4575,1617,8425.0
3697_1617_8420,3697,1617,8420.0
3836_1617_8420,3836,1617,8420.0
